year,region,all,event,count,percentage
2011,global,7312,Master Magic,942,12.88293216630197
2011,global,7312,Megaminx,917,12.541028446389497
2011,global,7312,Pyraminx,2031,27.77625820568928
2011,global,7312,Square-1,693,9.477571115973742
2011,global,7312,2x2x2 Cube,4230,57.850109409190374
2011,global,7312,3x3x3 With Feet,300,4.102844638949672
2011,global,7312,6x6x6 Cube,509,6.961159737417944
2011,global,7312,7x7x7 Cube,516,7.0568927789934355
2011,global,7312,Skewb,0,0
2011,malaysia,111,3x3x3 Cube,105,94.5945945945946
2011,malaysia,111,3x3x3 Blindfolded,18,16.216216216216218
2011,malaysia,111,3x3x3 Fewest Moves,4,3.6036036036036037
2011,malaysia,111,3x3x3 One-Handed,43,38.73873873873874
2011,malaysia,111,4x4x4 Blindfolded,6,5.405405405405405
2011,malaysia,111,4x4x4 Cube,39,35.13513513513514
2011,malaysia,111,5x5x5 Blindfolded,2,1.8018018018018018
2011,malaysia,111,5x5x5 Cube,18,16.216216216216218
2011,malaysia,111,Clock,8,7.207207207207207
2011,malaysia,111,Magic,36,32.432432432432435
2011,malaysia,111,Master Magic,17,15.315315315315313
2011,malaysia,111,Megaminx,14,12.612612612612612
2011,malaysia,111,Pyraminx,24,21.62162162162162
2011,malaysia,111,Square-1,7,6.306306306306306
2011,malaysia,111,2x2x2 Cube,57,51.35135135135135
2011,malaysia,111,3x3x3 With Feet,7,6.306306306306306
2011,malaysia,111,6x6x6 Cube,1,0.9009009009009009
2011,malaysia,111,7x7x7 Cube,2,1.8018018018018018
2011,malaysia,111,Skewb,0,0
2012,global,7909,3x3x3 Cube,7571,95.72638765962827
2012,global,7909,3x3x3 Blindfolded,1260,15.931217600202302
2012,global,7909,3x3x3 Fewest Moves,951,12.02427614110507
2012,global,7909,3x3x3 One-Handed,3152,39.8533316474902
2012,global,7909,4x4x4 Blindfolded,208,2.629915286382602
2012,global,7909,4x4x4 Cube,3379,42.72347958022506
2012,global,7909,5x5x5 Blindfolded,95,1.2011632317612846
