eventId,eventName,countryName,count,rankType
333oh,3x3x3 One-Handed,Greece,1,Single
333oh,3x3x3 One-Handed,"Hong Kong, China",1,Average
333oh,3x3x3 One-Handed,"Hong Kong, China",2,Single
333oh,3x3x3 One-Handed,Hungary,1,Average
333oh,3x3x3 One-Handed,Hungary,1,Single
333oh,3x3x3 One-Handed,India,3,Average
333oh,3x3x3 One-Handed,India,5,Single
333oh,3x3x3 One-Handed,Indonesia,2,Average
333oh,3x3x3 One-Handed,Indonesia,2,Single
333oh,3x3x3 One-Handed,Israel,1,Average
333oh,3x3x3 One-Handed,Israel,1,Single
333oh,3x3x3 One-Handed,Italy,1,Average
333oh,3x3x3 One-Handed,Lithuania,1,Average
333oh,3x3x3 One-Handed,Lithuania,1,Single
333oh,3x3x3 One-Handed,Malaysia,1,Average
333oh,3x3x3 One-Handed,Malaysia,1,Single
333oh,3x3x3 One-Handed,Mexico,1,Average
333oh,3x3x3 One-Handed,Mexico,1,Single
333oh,3x3x3 One-Handed,Netherlands,1,Average
333oh,3x3x3 One-Handed,Netherlands,2,Single
333oh,3x3x3 One-Handed,New Zealand,3,Average
333oh,3x3x3 One-Handed,New Zealand,3,Single
333oh,3x3x3 One-Handed,Norway,3,Average
333oh,3x3x3 One-Handed,Norway,3,Single
333oh,3x3x3 One-Handed,Peru,2,Single
333oh,3x3x3 One-Handed,Philippines,4,Average
333oh,3x3x3 One-Handed,Philippines,5,Single
333oh,3x3x3 One-Handed,Poland,5,Average
333oh,3x3x3 One-Handed,Poland,6,Single
333oh,3x3x3 One-Handed,Republic of Korea,4,Average
333oh,3x3x3 One-Handed,Republic of Korea,3,Single
333oh,3x3x3 One-Handed,Romania,1,Average
333oh,3x3x3 One-Handed,Romania,2,Single
333oh,3x3x3 One-Handed,Russia,3,Average
333oh,3x3x3 One-Handed,Russia,3,Single
333oh,3x3x3 One-Handed,Singapore,1,Average
333oh,3x3x3 One-Handed,Singapore,1,Single
333oh,3x3x3 One-Handed,Sweden,1,Average
333oh,3x3x3 One-Handed,Sweden,1,Single
333oh,3x3x3 One-Handed,Switzerland,3,Average
333oh,3x3x3 One-Handed,Switzerland,3,Single
333oh,3x3x3 One-Handed,Thailand,2,Average
333oh,3x3x3 One-Handed,Thailand,2,Single
333oh,3x3x3 One-Handed,Turkey,1,Average
333oh,3x3x3 One-Handed,Ukraine,2,Single
333oh,3x3x3 One-Handed,United Kingdom,4,Average
333oh,3x3x3 One-Handed,United Kingdom,3,Single
333oh,3x3x3 One-Handed,United States,23,Average
333oh,3x3x3 One-Handed,United States,25,Single
333oh,3x3x3 One-Handed,Vietnam,1,Average
333oh,3x3x3 One-Handed,Vietnam,2,Single
444,4x4x4 Cube,Argentina,1,Average
444,4x4x4 Cube,Argentina,2,Single
444,4x4x4 Cube,Australia,4,Average
444,4x4x4 Cube,Australia,3,Single
444,4x4x4 Cube,Brazil,3,Average
444,4x4x4 Cube,Brazil,3,Single
444,4x4x4 Cube,Canada,3,Average
444,4x4x4 Cube,Canada,4,Single
444,4x4x4 Cube,Chile,2,Average
444,4x4x4 Cube,Chile,1,Single
444,4x4x4 Cube,China,9,Average
444,4x4x4 Cube,China,8,Single
444,4x4x4 Cube,Chinese Taipei,3,Average
444,4x4x4 Cube,Chinese Taipei,6,Single
444,4x4x4 Cube,Colombia,1,Single
444,4x4x4 Cube,Croatia,1,Average
444,4x4x4 Cube,Denmark,1,Average
444,4x4x4 Cube,Denmark,1,Single
444,4x4x4 Cube,Finland,2,Single
444,4x4x4 Cube,France,2,Average
444,4x4x4 Cube,France,2,Single
444,4x4x4 Cube,Georgia,1,Single
444,4x4x4 Cube,Germany,2,Average
444,4x4x4 Cube,Germany,2,Single
444,4x4x4 Cube,Greece,1,Average
444,4x4x4 Cube,Greece,1,Single
444,4x4x4 Cube,"Hong Kong, China",3,Average
444,4x4x4 Cube,"Hong Kong, China",2,Single
444,4x4x4 Cube,India,1,Average
444,4x4x4 Cube,Indonesia,2,Average
444,4x4x4 Cube,Indonesia,2,Single
444,4x4x4 Cube,Ireland,2,Average
444,4x4x4 Cube,Ireland,1,Single
444,4x4x4 Cube,Israel,1,Average
444,4x4x4 Cube,Israel,2,Single
444,4x4x4 Cube,Italy,1,Average
444,4x4x4 Cube,Italy,1,Single
444,4x4x4 Cube,Malaysia,2,Average
444,4x4x4 Cube,Malaysia,2,Single
444,4x4x4 Cube,Mexico,2,Average
444,4x4x4 Cube,Mexico,2,Single
444,4x4x4 Cube,Netherlands,4,Average
444,4x4x4 Cube,Netherlands,4,Single
444,4x4x4 Cube,New Zealand,2,Average
444,4x4x4 Cube,New Zealand,3,Single
